iterate time,target,blindMC,CVTransMC,unbiasedMC,Tensor Completion
1,0.070613,0.096223,0.012552,0.254426,0.168737
2,0.070841,0.079869,0.012056,0.190842,0.111394
3,0.135994,0.119600,0.013853,0.336467,0.107685
4,0.094089,0.126677,0.010643,0.210337,0.101973
5,0.078179,0.116943,0.008637,0.219914,0.122358
6,0.101448,0.108640,0.013623,0.220445,0.135527
7,0.077350,0.154342,0.011768,0.281497,0.133666
8,0.081602,0.133754,0.012141,0.300334,0.147388
9,0.102403,0.145943,0.012867,0.317402,0.093508
10,0.218641,0.105897,0.011714,0.216776,0.075077
Mean,0.103116,0.118789,0.011985,0.254844,0.119731
